 "value" , "label" , "location" , "region" , "occorrenze" ,
 "http://iconclass.org/48A98781%28%2B21%29" , "intreccio astratto, intreccio a nodo ~ composizioni decorative (+ decorazioni a cornice simmetriche)" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48A98783" , "intreccio floreale ~ composizioni decorative" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "4" ,
 "http://iconclass.org/48AA98341" , "rosetta ~ elementi decorativi - AA - stilizzata" , "http://www.researchspace.org/resource/man-made_object/CAM_NA_Napoli_SGiovanniMaggiore" ,  , "1" ,
 "http://iconclass.org/48C162" , "arco, archivolto ~ architettura" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48C1641" , "telamoni ~ architettura" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/48C7525" , "singola persona mentre suona uno strumento a fiato" , "https://sacred_space.com/resource/hertziana/man-made_object/CAL_CS_SanDemetrioCorone_SAdriano" ,  , "1" ,
 "http://iconclass.org/48C7525" , "singola persona mentre suona uno strumento a fiato" ,  ,  , "1" ,
 "http://iconclass.org/49D461" , "elica, spirale tridimensionale" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/49D48" , "sfera, globo ~ stereometria" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "2" ,
 "http://iconclass.org/49L8" , "iscrizione" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "5" ,
 "http://iconclass.org/71A63" , "Adamo ed Eva fanno penitenza" , "http://www.researchspace.org/resource/man-made_object/CAM_SA_Teggiano_CattedralediSMariaMaggiore" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
 "http://iconclass.org/71V2" , "Giona nel ventre del pesce (Gn. 2, 1 - 3, 2)" ,  ,  , "1" ,
 "http://iconclass.org/71V22" , "dopo aver trascorso tre giorni nel ventre del mostro, Giona viene rigettato all'asciutto; Giona può essere mostrato nudo e con la testa calva" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/92L7" , "centauri" , "http://www.researchspace.org/resource/man-made_object/PUG_BA_Bari_Cattedrale" ,  , "1" ,
 "http://iconclass.org/92LL7141" , "centauri che combattono, centauromachia (in generale) - LL - centauri-femmine, centauresse (in generale)" , "http://www.researchspace.org/resource/man-made_object/CAM_BN_SantAgatadeGoti_ComplessodellaConcattedralediSantAgatadeGoti" , "https://sacred_space.com/resource/hertziana/place/campania" , "1" ,
